Name,Latin Name,Ideal growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g)
Apple,Malum vulgaris,Temperate,Moderate,46,3.39,111.6,5.7
Banana,Musa major,Mediterranean,Moderate,329,3.24,319.5,1.6
Mango,Mangifera sapiens,Mediterranean,Moderate,245,3.25,309.6,1.0
Orange,Citrus genuina,Polar,High,305,0.26,109.4,1.8
Peach,Prunus sapiens,Temperate,Moderate,163,1.29,222.4,4.9
Pear,Pyrus sapiens,Arid,Moderate,273,0.52,138.4,1.7
Papaya,Carica genuina,Arid,Moderate,61,3.5,397.8,0.8
Pineapple,Ananas fixa,Mediterranean,High,353,4.17,155.6,0.8
Watermelon,Citrullus genuina,Tropical,Low,211,3.31,214.9,7.6
Cucumber,Cucumis sapiens,Tropical,High,276,0.21,92.5,3.7
Tomato,Tomato genuina,Temperate,Moderate,114,1.42,46.9,2.1
Avocado,Avocado sapiens,Polar,High,165,4.56,236.2,8.9
Spinach,Spinach indica,Polar,High,273,4.15,333.6,9.8
Kale,Kale vulgaris,Polar,Moderate,245,4.63,231.6,9.6
Lettuce,Lettuce minor,Arid,Moderate,158,0.53,241.5,1.4
Swiss Chard,Swiss chard sapiens,Tropical,Moderate,46,4.48,171.8,5.1
Beet Greens,Beet greens minor,Temperate,Moderate,307,3.01,251.0,4.8
Radish,Radish sapiens,Temperate,Low,300,0.14,332.8,2.7
Carrot,Carrot major,Polar,High,284,1.56,264.4,7.1
Broccoli,Broccoli vulgaris,Arid,Low,114,3.88,149.4,2.0
Cauliflower,Cauliflower major,Mediterranean,Low,239,1.54,84.1,3.3
Cabbage,Cabbage latifolia,Tropical,High,299,2.58,61.6,4.3
Brussels Sprouts,Brussels sprouts major,Temperate,Low,233,0.57,155.8,3.9
Zucchini,Zucchini latifolia,Mediterranean,Moderate,148,3.82,353.3,8.3
Squash,Squash major,Temperate,High,30,4.03,149.0,6.1
Pumpkin,Pumpkin genuina,Polar,Moderate,90,4.91,15.3,0.6
Sweet Potato,Sweet potato genuina,Arid,Moderate,166,1.96,104.3,0.7
Potato,Potato major,Polar,High,321,0.55,202.3,9.0
Corn,Corn minor,Mediterranean,Low,32,0.17,59.4,7.5
Rice,Rice major,Arid,Low,363,2.16,139.7,5.5
Wheat,Wheat vulgaris,Temperate,Low,244,1.31,30.2,7.0
Barley,Barley genuina,Arid,High,72,1.66,215.1,9.6
Oats,Oats vulgaris,Arid,High,201,4.8,323.3,7.2
Quinoa,Quinoa minor,Mediterranean,Moderate,140,3.04,172.6,4.6
Lentils,Lentils fixa,Temperate,High,116,0.23,99.4,0.6
Chickpeas,Chickpeas genuina,Polar,High,34,2.75,263.2,8.5
Peas,Peas genuina,Tropical,Moderate,286,1.37,202.7,6.2
Beans,Beans vulgaris,Polar,High,69,2.8,110.2,2.6
Soybeans,Soybeans vulgaris,Polar,High,327,0.82,231.5,4.1
Almond,Almond latifolia,Polar,Moderate,309,1.13,141.3,8.7
Walnut,Walnut major,Mediterranean,Low,256,2.81,149.3,5.8
Pecan,Pecan fixa,Arid,Low,50,4.59,37.3,2.6
Hazelnut,Hazelnut indica,Temperate,Low,94,1.51,326.1,1.4
Chestnut,Chestnut indica,Temperate,Moderate,279,3.95,53.3,8.1
Sunflower Seeds,Sunflower seeds fixa,Temperate,High,248,2.15,316.8,2.8
Sesame Seeds,Sesame seeds latifolia,Mediterranean,Low,140,1.4,37.7,7.2
Flax Seeds,Flax seeds indica,Tropical,High,179,2.7,340.4,5.6
Chia Seeds,Chia seeds minor,Tropical,Low,314,2.67,231.4,5.5
Basil,Basil indica,Polar,Low,306,2.83,330.8,4.7
Mint,Mint major,Tropical,Low,229,3.43,328.8,2.0
Parsley,Parsley fixa,Polar,Low,314,4.38,202.4,8.0
Cilantro,Cilantro minor,Arid,Moderate,221,3.97,320.1,3.1
Thyme,Thyme latifolia,Mediterranean,Moderate,217,1.72,189.0,9.6
Rosemary,Rosemary sapiens,Temperate,Moderate,283,2.94,300.3,2.8
Sage,Sage sapiens,Polar,High,65,1.11,351.8,0.7
