Name,Latin Name,Ideal growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g)
Apple,Malum sapiens,Tropical,High,170,1.91,380.1,4.7
Banana,Musa fixa,Polar,Moderate,258,1.46,63.3,8.7
Mango,Mangifera indica,Polar,High,279,2.28,113.6,0.5
Orange,Citrus indica,Polar,High,357,0.87,175.9,9.0
Peach,Prunus latifolia,Arid,Low,95,1.66,359.2,8.6
Pear,Pyrus vulgaris,Polar,High,161,4.08,45.9,3.6
Papaya,Carica sapiens,Temperate,Low,48,3.55,104.9,1.5
Pineapple,Ananas sapiens,Polar,High,334,3.77,335.6,1.6
Watermelon,Citrullus genuina,Temperate,Moderate,335,3.22,142.2,2.6
Cucumber,Cucumis fixa,Arid,Moderate,228,2.59,101.9,6.4
Tomato,Tomato latifolia,Mediterranean,High,129,4.27,160.1,5.5
Avocado,Avocado major,Polar,High,183,3.06,285.7,9.4
Spinach,Spinach major,Temperate,Low,110,1.79,117.6,5.4
Kale,Kale latifolia,Mediterranean,Low,159,1.53,186.7,7.8
Lettuce,Lettuce vulgaris,Polar,Moderate,201,1.58,175.8,4.9
Swiss Chard,Swiss chard indica,Polar,Low,268,4.59,348.9,4.5
Beet Greens,Beet greens indica,Arid,Low,122,0.6,193.9,7.2
Radish,Radish indica,Arid,High,198,0.69,135.2,3.8
Carrot,Carrot indica,Mediterranean,High,206,2.68,365.9,6.8
Broccoli,Broccoli genuina,Mediterranean,Low,81,0.5,296.8,7.0
Cauliflower,Cauliflower fixa,Mediterranean,High,30,0.5,22.4,6.3
Cabbage,Cabbage fixa,Mediterranean,High,105,1.66,203.1,8.6
Brussels Sprouts,Brussels sprouts genuina,Mediterranean,Moderate,287,3.13,172.7,5.9
Zucchini,Zucchini indica,Polar,High,178,3.49,283.4,7.8
Squash,Squash sapiens,Mediterranean,Moderate,303,2.91,29.3,4.5
Pumpkin,Pumpkin fixa,Temperate,High,94,3.43,349.8,8.6
Sweet Potato,Sweet potato vulgaris,Mediterranean,Low,319,2.3,51.6,6.2
Potato,Potato fixa,Arid,High,91,4.87,390.2,3.8
Corn,Corn indica,Arid,High,195,2.4,75.3,9.8
Rice,Rice indica,Mediterranean,Low,317,2.69,184.1,7.6
Wheat,Wheat minor,Mediterranean,High,49,3.95,18.7,3.0
Barley,Barley indica,Temperate,Moderate,93,1.46,230.6,8.2
Oats,Oats sapiens,Arid,Low,220,1.39,182.9,4.4
Quinoa,Quinoa genuina,Mediterranean,High,115,2.57,208.2,1.6
Lentils,Lentils major,Polar,Moderate,61,4.92,236.7,5.6
Chickpeas,Chickpeas indica,Polar,Moderate,225,0.92,224.9,7.6
Peas,Peas sapiens,Temperate,Moderate,316,1.32,325.6,5.4
Beans,Beans minor,Mediterranean,Moderate,84,1.81,117.0,4.1
Soybeans,Soybeans fixa,Tropical,Low,31,2.64,223.6,1.4
Almond,Almond major,Mediterranean,High,156,4.92,363.5,2.4
Walnut,Walnut fixa,Mediterranean,Moderate,315,0.36,315.2,2.9
Pecan,Pecan minor,Tropical,Moderate,69,2.75,158.2,0.5
Hazelnut,Hazelnut sapiens,Mediterranean,Low,116,0.97,120.9,2.1
Chestnut,Chestnut minor,Mediterranean,High,145,2.07,233.0,8.6
Sunflower Seeds,Sunflower seeds vulgaris,Arid,Moderate,246,0.8,65.6,2.2
Sesame Seeds,Sesame seeds fixa,Polar,Low,35,4.78,104.9,2.1
Flax Seeds,Flax seeds major,Temperate,Moderate,62,1.52,355.4,6.6
Chia Seeds,Chia seeds vulgaris,Tropical,Moderate,76,3.38,22.3,6.8
Basil,Basil indica,Arid,High,322,4.63,360.2,3.1
Mint,Mint major,Mediterranean,Moderate,91,0.74,319.5,5.0
Parsley,Parsley genuina,Polar,Moderate,140,1.8,299.7,0.7
Cilantro,Cilantro major,Mediterranean,High,120,0.15,257.5,2.1
Thyme,Thyme genuina,Temperate,High,228,4.48,114.1,6.5
Rosemary,Rosemary indica,Tropical,Moderate,127,4.08,109.6,8.0
Sage,Sage major,Temperate,Moderate,232,3.06,379.4,8.9
Dill,Dill fixa,Temperate,High,316,2.92,173.4,8.5
Tarragon,Tarragon major,Mediterranean,Low,363,1.63,350.7,9.4
Oregano,Oregano latifolia,Arid,Low,327,2.33,106.8,6.9
Lavender,Lavender sapiens,Polar,High,33,0.74,332.3,8.0
Lemon Balm,Lemon balm major,Temperate,Low,103,4.78,121.0,1.6
Fennel,Fennel minor,Polar,High,183,4.27,380.8,3.7
Celery,Celery sapiens,Tropical,High,140,3.58,314.7,8.5
Bell Pepper,Bell pepper indica,Temperate,Moderate,79,2.01,381.5,7.5
Chili Pepper,Chili pepper major,Polar,High,228,4.54,294.6,9.0
Okra,Okra major,Mediterranean,Low,209,3.61,310.1,7.4
Eggplant,Eggplant fixa,Arid,Low,193,1.21,116.2,1.1
Artichoke,Artichoke fixa,Arid,Moderate,260,1.06,318.7,9.0
Asparagus,Asparagus vulgaris,Tropical,Moderate,91,0.86,164.9,1.3
Bok Choy,Bok choy fixa,Mediterranean,Low,360,4.87,261.8,4.4
Mustard Greens,Mustard greens major,Tropical,Low,349,1.93,348.2,8.8
Collard Greens,Collard greens vulgaris,Polar,Low,71,0.88,351.9,2.1
Arugula,Arugula latifolia,Temperate,Low,93,2.2,383.3,4.3
Endive,Endive genuina,Temperate,High,273,4.44,238.6,4.1
Escarole,Escarole sapiens,Mediterranean,Low,334,2.61,288.9,8.4
Green Onion,Green onion fixa,Mediterranean,Low,221,3.6,188.3,6.8
Garlic,Garlic genuina,Arid,High,108,1.7,275.0,5.4
Leek,Leek minor,Temperate,High,257,4.18,245.1,8.4
Shallot,Shallot fixa,Tropical,Moderate,31,1.88,145.8,5.6
Onion,Onion fixa,Temperate,Low,143,3.91,150.6,7.0
Ginger,Ginger fixa,Polar,High,358,0.33,65.4,2.2
Turmeric,Turmeric sapiens,Temperate,Low,124,4.36,255.2,0.8
Horseradish,Horseradish minor,Polar,High,148,4.41,210.8,8.3
Daikon,Daikon minor,Arid,High,268,2.43,329.4,6.7
Turnip,Turnip vulgaris,Polar,High,335,1.16,111.0,3.0
Rutabaga,Rutabaga indica,Tropical,Moderate,58,4.91,110.1,8.3
Yam,Yam indica,Tropical,Low,170,2.97,373.9,7.9
Parsnip,Parsnip indica,Arid,High,243,3.3,367.7,10.0
Kohlrabi,Kohlrabi indica,Temperate,High,83,1.88,383.3,8.9
Jerusalem Artichoke,Jerusalem artichoke minor,Temperate,Moderate,150,2.67,333.7,4.9
Malabar Spinach,Malabar spinach indica,Mediterranean,High,180,2.13,28.1,7.0
Purslane,Purslane fixa,Temperate,Moderate,139,0.72,56.9,9.9
Dandelion Greens,Dandelion greens genuina,Mediterranean,Low,127,1.13,362.8,9.9
Nasturtium,Nasturtium fixa,Temperate,Moderate,99,4.31,140.7,7.8
Sorrel,Sorrel vulgaris,Polar,Low,305,2.02,189.3,1.6
Rhubarb,Rhubarb indica,Tropical,Low,141,2.4,387.9,0.6
Gooseberry,Gooseberry fixa,Temperate,High,288,1.18,328.0,1.9
Currant,Currant fixa,Mediterranean,Low,213,4.36,163.4,1.5
Cranberry,Cranberry sapiens,Arid,Moderate,196,1.3,388.5,6.5
Blueberry,Blueberry minor,Temperate,High,320,2.45,246.0,2.2
Blackberry,Blackberry vulgaris,Temperate,Moderate,45,4.06,21.8,0.6
Raspberry,Raspberry genuina,Arid,Moderate,236,3.6,298.3,0.7
Strawberry,Strawberry minor,Arid,High,321,3.25,344.3,7.4
